FID,UTLA22CD,UTLA22NM,UTLA22NMW
1,E06000001,Hartlepool,
2,E06000002,Middlesbrough,
3,E06000003,Redcar and Cleveland,
4,E06000004,Stockton-on-Tees,
5,E06000005,Darlington,
6,E06000006,Halton,
7,E06000007,Warrington,
8,E06000008,Blackburn with Darwen,
9,E06000009,Blackpool,
10,E06000010,"Kingston upon Hull, City of",
11,E06000011,East Riding of Yorkshire,
12,E06000012,North East Lincolnshire,
13,E06000013,North Lincolnshire,
14,E06000014,York,
15,E06000015,Derby,
16,E06000016,Leicester,
17,E06000017,Rutland,
18,E06000018,Nottingham,
19,E06000019,"Herefordshire, County of",
20,E06000020,Telford and Wrekin,
21,E06000021,Stoke-on-Trent,
22,E06000022,Bath and North East Somerset,
23,E06000023,"Bristol, City of",
24,E06000024,North Somerset,
25,E06000025,South Gloucestershire,
26,E06000026,Plymouth,
27,E06000027,Torbay,
28,E06000030,Swindon,
29,E06000031,Peterborough,
30,E06000032,Luton,
31,E06000033,Southend-on-Sea,
32,E06000034,Thurrock,
33,E06000035,Medway,
34,E06000036,Bracknell Forest,
35,E06000037,West Berkshire,
36,E06000038,Reading,
37,E06000039,Slough,
38,E06000040,Windsor and Maidenhead,
39,E06000041,Wokingham,
40,E06000042,Milton Keynes,
41,E06000043,Brighton and Hove,
42,E06000044,Portsmouth,
43,E06000045,Southampton,
44,E06000046,Isle of Wight,
45,E06000047,County Durham,
46,E06000049,Cheshire East,
47,E06000050,Cheshire West and Chester,
48,E06000051,Shropshire,
49,E06000052,Cornwall,
50,E06000053,Isles of Scilly,
51,E06000054,Wiltshire,
52,E06000055,Bedford,
53,E06000056,Central Bedfordshire,
54,E06000057,Northumberland,
55,E06000058,"Bournemouth, Christchurch and Poole",
56,E09000016,Havering,
57,E09000017,Hillingdon,
58,E09000018,Hounslow,
59,E09000019,Islington,
60,E09000020,Kensington and Chelsea,
61,E09000021,Kingston upon Thames,
62,E09000022,Lambeth,
63,E09000023,Lewisham,
64,E09000024,Merton,
65,E09000025,Newham,
66,E09000026,Redbridge,
67,E09000027,Richmond upon Thames,
68,E09000028,Southwark,
69,E09000029,Sutton,
70,E09000030,Tower Hamlets,
71,E09000031,Waltham Forest,
72,E09000032,Wandsworth,
73,E09000033,Westminster,
74,E10000003,Cambridgeshire,
75,E10000006,Cumbria,
76,E10000007,Derbyshire,
77,E10000008,Devon,
78,E10000011,East Sussex,
79,E10000012,Essex,
80,E10000013,Gloucestershire,
81,E10000014,Hampshire,
82,E10000015,Hertfordshire,
83,E10000016,Kent,
84,E10000017,Lancashire,
85,E10000018,Leicestershire,
86,E10000019,Lincolnshire,
87,E10000020,Norfolk,
88,E10000023,North Yorkshire,
89,E10000024,Nottinghamshire,
90,E10000025,Oxfordshire,
91,E10000027,Somerset,
92,E10000028,Staffordshire,
93,E10000029,Suffolk,
94,E10000030,Surrey,
95,E10000031,Warwickshire,
96,E10000032,West Sussex,
97,E10000034,Worcestershire,
98,N09000001,Antrim and Newtownabbey,
99,N09000002,"Armagh City, Banbridge and Craigavon",
100,N09000003,Belfast,
101,N09000004,Causeway Coast and Glens,
102,N09000005,Derry City and Strabane,
103,N09000006,Fermanagh and Omagh,
104,N09000007,Lisburn and Castlereagh,
105,N09000008,Mid and East Antrim,
106,N09000009,Mid Ulster,
107,N09000010,"Newry, Mourne and Down",
108,N09000011,Ards and North Down,
109,S12000005,Clackmannanshire,
110,S12000006,Dumfries and Galloway,
111,S12000008,East Ayrshire,
112,S12000010,East Lothian,
113,S12000011,East Renfrewshire,
114,S12000013,Na h-Eileanan Siar,
115,S12000014,Falkirk,
116,S12000017,Highland,
117,S12000018,Inverclyde,
118,S12000019,Midlothian,
119,S12000020,Moray,
120,S12000021,North Ayrshire,
121,S12000023,Orkney Islands,
122,S12000026,Scottish Borders,
123,S12000027,Shetland Islands,
124,S12000028,South Ayrshire,
125,S12000029,South Lanarkshire,
126,S12000030,Stirling,
127,S12000033,Aberdeen City,
128,S12000034,Aberdeenshire,
129,S12000035,Argyll and Bute,
130,S12000036,City of Edinburgh,
131,S12000038,Renfrewshire,
132,S12000039,West Dunbartonshire,
133,S12000040,West Lothian,
134,S12000041,Angus,
135,S12000042,Dundee City,
136,S12000045,East Dunbartonshire,
137,S12000047,Fife,
138,S12000048,Perth and Kinross,
139,S12000049,Glasgow City,
140,S12000050,North Lanarkshire,
141,W06000001,Isle of Anglesey,Ynys Môn
142,W06000002,Gwynedd,Gwynedd
143,W06000003,Conwy,Conwy
144,W06000004,Denbighshire,Sir Ddinbych
145,W06000005,Flintshire,Sir y Fflint
146,W06000006,Wrexham,Wrecsam
147,W06000008,Ceredigion,Ceredigion
148,W06000009,Pembrokeshire,Sir Benfro
149,W06000010,Carmarthenshire,Sir Gaerfyrddin
150,W06000011,Swansea,Abertawe
151,W06000012,Neath Port Talbot,Castell-nedd Port Talbot
152,W06000013,Bridgend,Pen-y-bont ar Ogwr
153,W06000014,Vale of Glamorgan,Bro Morgannwg
154,W06000015,Cardiff,Caerdydd
155,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf
156,W06000018,Caerphilly,Caerffili
157,W06000019,Blaenau Gwent,Blaenau Gwent
158,W06000020,Torfaen,Torfaen
159,W06000021,Monmouthshire,Sir Fynwy
160,W06000022,Newport,Casnewydd
161,W06000023,Powys,Powys
162,W06000024,Merthyr Tydfil,Merthyr Tudful
163,E06000059,Dorset,
164,E06000060,Buckinghamshire,
165,E06000061,North Northamptonshire,
166,E06000062,West Northamptonshire,
167,E08000001,Bolton,
168,E08000002,Bury,
169,E08000003,Manchester,
170,E08000004,Oldham,
171,E08000005,Rochdale,
172,E08000006,Salford,
173,E08000007,Stockport,
174,E08000008,Tameside,
175,E08000009,Trafford,
176,E08000010,Wigan,
177,E08000011,Knowsley,
178,E08000012,Liverpool,
179,E08000013,St. Helens,
180,E08000014,Sefton,
181,E08000015,Wirral,
182,E08000016,Barnsley,
183,E08000017,Doncaster,
184,E08000018,Rotherham,
185,E08000019,Sheffield,
186,E08000021,Newcastle upon Tyne,
187,E08000022,North Tyneside,
188,E08000023,South Tyneside,
189,E08000024,Sunderland,
190,E08000025,Birmingham,
191,E08000026,Coventry,
192,E08000027,Dudley,
193,E08000028,Sandwell,
194,E08000029,Solihull,
195,E08000030,Walsall,
196,E08000031,Wolverhampton,
197,E08000032,Bradford,
198,E08000033,Calderdale,
199,E08000034,Kirklees,
200,E08000035,Leeds,
201,E08000036,Wakefield,
202,E08000037,Gateshead,
203,E09000001,City of London,
204,E09000002,Barking and Dagenham,
205,E09000003,Barnet,
206,E09000004,Bexley,
207,E09000005,Brent,
208,E09000006,Bromley,
209,E09000007,Camden,
210,E09000008,Croydon,
211,E09000009,Ealing,
212,E09000010,Enfield,
213,E09000011,Greenwich,
214,E09000012,Hackney,
215,E09000013,Hammersmith and Fulham,
216,E09000014,Haringey,
217,E09000015,Harrow,
